dt,time_hr,place,price_actual
1/9/2022,8,germany,97.26
1/9/2022,9,germany,119.97
1/9/2022,10,germany,134.96
1/9/2022,11,germany,149.4
1/9/2022,12,germany,165.13
1/9/2022,13,germany,165.06
1/9/2022,14,germany,170.09
1/9/2022,15,germany,189.04
1/9/2022,16,germany,190.96
1/9/2022,17,germany,223.3
1/9/2022,18,germany,243.94
1/9/2022,19,germany,240
1/9/2022,20,germany,230.82
1/9/2022,21,germany,214.02
1/9/2022,22,germany,215.88
1/9/2022,23,germany,203.8
1/10/2022,0,germany,196.23
1/10/2022,1,germany,191.85
1/10/2022,2,germany,195.91
1/10/2022,3,germany,186.66
1/10/2022,4,germany,178.04
1/10/2022,5,germany,191.65
1/10/2022,6,germany,237.44
1/10/2022,7,germany,299.95
1/10/2022,8,germany,313.92
1/10/2022,9,germany,315
1/10/2022,10,germany,310.41
1/10/2022,11,germany,310.08
1/10/2022,12,germany,300
1/10/2022,13,germany,297.01
1/10/2022,14,germany,299.96
1/10/2022,15,germany,306.45
1/10/2022,16,germany,302.73
1/10/2022,17,germany,315.47
1/10/2022,18,germany,310.82
1/10/2022,19,germany,294.98
1/10/2022,20,germany,267.45
1/10/2022,21,germany,242.29
1/10/2022,22,germany,217.03
1/10/2022,23,germany,195.83
1/11/2022,0,germany,210.34
1/11/2022,1,germany,202.42
1/11/2022,2,germany,197.6
1/11/2022,3,germany,193
1/11/2022,4,germany,194.9
1/11/2022,5,germany,204.45
1/11/2022,6,germany,237.13
1/11/2022,7,germany,298.68
1/11/2022,8,germany,302.02
1/11/2022,9,germany,297.16
1/11/2022,10,germany,277.02
1/11/2022,11,germany,266.43
1/11/2022,12,germany,254.92
1/11/2022,13,germany,248.89
1/11/2022,14,germany,255.01
1/11/2022,15,germany,277.9
1/11/2022,16,germany,289.94
1/11/2022,17,germany,316.4
1/11/2022,18,germany,315.9
1/11/2022,19,germany,309.2
1/11/2022,20,germany,285.33
1/11/2022,21,germany,245.44
1/11/2022,22,germany,237.27
1/11/2022,23,germany,212.49
1/12/2022,0,germany,196.65
1/12/2022,1,germany,187.1
1/12/2022,2,germany,184.27
1/12/2022,3,germany,179.58
1/12/2022,4,germany,178.33
1/12/2022,5,germany,193.5
1/12/2022,6,germany,240.56
1/12/2022,7,germany,273.18
1/12/2022,8,germany,300.1
1/12/2022,9,germany,292.74
1/12/2022,10,germany,275.5
1/12/2022,11,germany,258.65
1/12/2022,12,germany,245.11
1/12/2022,13,germany,232.08
1/12/2022,14,germany,234.77
1/12/2022,15,germany,240.01
1/12/2022,16,germany,255
1/12/2022,17,germany,284.82
1/12/2022,18,germany,285.97
1/12/2022,19,germany,269.03
1/12/2022,20,germany,235.25
1/12/2022,21,germany,191.5
1/12/2022,22,germany,193.69
1/12/2022,23,germany,172.18
1/13/2022,0,germany,173.14
1/13/2022,1,germany,161.69
1/13/2022,2,germany,153.58
1/13/2022,3,germany,147.07
1/13/2022,4,germany,152.47
1/13/2022,5,germany,171.26
1/13/2022,6,germany,192.03
1/13/2022,7,germany,215.24
1/13/2022,8,germany,235.9
1/13/2022,9,germany,219.99
1/13/2022,10,germany,180.08
1/13/2022,11,germany,170.16
1/13/2022,12,germany,152.53
1/13/2022,13,germany,134.13
1/13/2022,14,germany,171.01
1/13/2022,15,germany,201.59
1/13/2022,16,germany,205.38
1/13/2022,17,germany,220.3
1/13/2022,18,germany,212.76
1/13/2022,19,germany,210
1/13/2022,20,germany,192.69
1/13/2022,21,germany,164.46
1/13/2022,22,germany,164.2
1/13/2022,23,germany,122.09
1/14/2022,0,germany,120.04
1/14/2022,1,germany,110.03
1/14/2022,2,germany,108.24
1/14/2022,3,germany,107.46
1/14/2022,4,germany,109.82
1/14/2022,5,germany,140.52
1/14/2022,6,germany,176.04
1/14/2022,7,germany,190.97
1/14/2022,8,germany,216.99
1/14/2022,9,germany,196.91
1/14/2022,10,germany,162.92
1/14/2022,11,germany,160.04
1/14/2022,12,germany,154.01
1/14/2022,13,germany,152.29
1/14/2022,14,germany,186.94
1/14/2022,15,germany,217.18
1/14/2022,16,germany,224.91
1/14/2022,17,germany,262
1/14/2022,18,germany,260.04
1/14/2022,19,germany,234.32
1/14/2022,20,germany,215.04
1/14/2022,21,germany,204.39
1/14/2022,22,germany,194.29
1/14/2022,23,germany,184.9
1/15/2022,0,germany,222.01
1/15/2022,1,germany,205.08
1/15/2022,2,germany,194.62
1/15/2022,3,germany,182.64
1/15/2022,4,germany,187.83
1/15/2022,5,germany,190.58
1/15/2022,6,germany,190.27
1/15/2022,7,germany,204.46
1/15/2022,8,germany,212.84
1/15/2022,9,germany,230
1/15/2022,10,germany,222.39
1/15/2022,11,germany,214.92
1/15/2022,12,germany,208.43
1/15/2022,13,germany,200
1/15/2022,14,germany,203.09
1/15/2022,15,germany,213.98
1/15/2022,16,germany,226.32
1/15/2022,17,germany,260
1/15/2022,18,germany,267.03
1/15/2022,19,germany,261.41
1/15/2022,20,germany,243.62
1/15/2022,21,germany,220.1
1/15/2022,22,germany,212.85
1/15/2022,23,germany,209.41
1/16/2022,0,germany,225.92
1/16/2022,1,germany,216
1/16/2022,2,germany,189.49
1/16/2022,3,germany,181.98
1/16/2022,4,germany,174.98
1/16/2022,5,germany,165.91
1/16/2022,6,germany,118.71
1/16/2022,7,germany,119.45
1/16/2022,8,germany,125.86
1/16/2022,9,germany,129.46
